wrf_date;data;stn_id;temp;rain;windU;windV;pressure
21.12.2023;25.12.2023 12:00;35796;0.5;0;-2.9;1.5;1681.7
21.12.2023;25.12.2023 15:00;35796;0.7;0;-0.2;2.3;1728.9
21.12.2023;25.12.2023 18:00;35796;0.3;0;-2.9;0.1;1508.1
21.12.2023;25.12.2023 21:00;35796;-0.5;0;-3.9;-0.2;1250.9
21.12.2023;26.12.2023 00:00;35796;-0.4;0;-2.8;0.4;1058.5
21.12.2023;26.12.2023 03:00;35796;-1.2;0;0;-1.8;1160.8
21.12.2023;26.12.2023 06:00;35796;1.4;0;0.8;2.1;1340.1
21.12.2023;26.12.2023 09:00;35796;3.4;0.2;4.6;2.2;1731
21.12.2023;26.12.2023 12:00;35796;0.2;0;2.5;2.6;2242.9
21.12.2023;26.12.2023 15:00;35796;-0.9;0;-0.8;2.7;2439
21.12.2023;26.12.2023 18:00;35796;-1.2;0;-0.4;2.1;2410.9
21.12.2023;26.12.2023 21:00;35796;-2.1;0;1.9;2.2;2484.2
21.12.2023;27.12.2023 00:00;35796;-2.4;0;1.2;1.4;2625.7
21.12.2023;27.12.2023 03:00;35796;-2.4;0;-0.1;2.5;2710.1
21.12.2023;27.12.2023 06:00;35796;0.4;0;-0.5;3.2;2809.4
21.12.2023;27.12.2023 09:00;35796;1.9;0;-0.8;3.2;2760.5
21.12.2023;27.12.2023 12:00;35796;0.4;0;-0.2;3.7;2855.9
21.12.2023;27.12.2023 15:00;35796;0.9;0;0.1;3.8;2899.4
21.12.2023;27.12.2023 18:00;35796;-0.3;0;0.8;3;2825.3
21.12.2023;27.12.2023 21:00;35796;-0.7;0;-0.2;2.9;2756.4
21.12.2023;28.12.2023 00:00;35796;-1.2;0;-0.2;2.7;2718
21.12.2023;21.12.2023 00:00;36126;-5.9;0;4.9;7.8;2629.9
21.12.2023;21.12.2023 03:00;36126;-5.6;0;6.4;8.8;2423.4
21.12.2023;21.12.2023 06:00;36126;-4.1;1.2;6.9;8.3;2391.8
21.12.2023;21.12.2023 09:00;36126;-2.9;1;7.8;7;2373.2
21.12.2023;21.12.2023 12:00;36126;-2.1;0.2;7.8;5.3;2570.9
21.12.2023;21.12.2023 15:00;36126;-2;0.1;6.9;4.9;2747.6
21.12.2023;21.12.2023 18:00;36126;-1.8;0;5.4;4.3;2823.6
21.12.2023;21.12.2023 21:00;36126;-1.5;0;4.3;4;2901.3
21.12.2023;22.12.2023 00:00;36126;-1.3;0;5.4;3.5;2929.1
21.12.2023;22.12.2023 03:00;36126;-1.3;0;3.7;3.6;2980.4
21.12.2023;22.12.2023 06:00;36126;-0.1;0;3.5;3.2;2969.4
21.12.2023;22.12.2023 09:00;36126;0.5;0;2.2;1.8;2861.7
21.12.2023;22.12.2023 12:00;36126;-0.5;0;0.3;1.2;2887.8
21.12.2023;22.12.2023 15:00;36126;-1.4;0;-1.6;1;2814.7
21.12.2023;22.12.2023 18:00;36126;-2.6;0;-2.5;1.8;2648.5
21.12.2023;22.12.2023 21:00;36126;-2.3;0;-3.2;1.6;2502.8
21.12.2023;23.12.2023 00:00;36126;-3;0;-3.4;0.2;2389.6
21.12.2023;23.12.2023 03:00;36126;-6.3;0;-2.7;0.4;2239.2
21.12.2023;23.12.2023 06:00;36126;-3.5;0;-3.9;0.7;2004.4
21.12.2023;23.12.2023 09:00;36126;-3.4;0;-3.5;0.3;1762.4
21.12.2023;23.12.2023 12:00;36126;-6.9;0;-2.5;0.8;1717.1
21.12.2023;23.12.2023 15:00;36126;-6.2;0;0.2;2.7;1595.4
21.12.2023;23.12.2023 18:00;36126;-4.6;0;3.3;4.4;1528.2
21.12.2023;23.12.2023 21:00;36126;-6.1;0;2.8;3.6;1495
21.12.2023;24.12.2023 00:00;36126;-5.7;0;3.2;3.8;1544.7
21.12.2023;24.12.2023 03:00;36126;-5.6;0;3.2;4.4;1534.6
21.12.2023;24.12.2023 06:00;36126;-0.7;0;2.7;4;1521.9
21.12.2023;24.12.2023 09:00;36126;1.1;0;2.6;3.9;1468.1
21.12.2023;24.12.2023 12:00;36126;-2.3;0;2.5;4;1466.4
21.12.2023;24.12.2023 15:00;36126;-3.4;0;2.6;4.2;1531.1
21.12.2023;24.12.2023 18:00;36126;-3.9;0;2.6;4.5;1479
21.12.2023;24.12.2023 21:00;36126;-3.9;0;2.7;4.6;1435.1
21.12.2023;25.12.2023 00:00;36126;-2.3;0;3;5.9;1372.7
21.12.2023;25.12.2023 03:00;36126;-0.4;0;3.3;6.7;1328.9
21.12.2023;25.12.2023 06:00;36126;2.9;0;2.9;7.4;1324.6
21.12.2023;25.12.2023 09:00;36126;4;0;2.9;7.8;1299.4
21.12.2023;25.12.2023 12:00;36126;2.3;0;3.2;6.7;1317
21.12.2023;25.12.2023 15:00;36126;0.8;0;4.6;3.5;1573.3
21.12.2023;25.12.2023 18:00;36126;-2.6;0;3.7;2.7;1627.7
21.12.2023;25.12.2023 21:00;36126;-4.6;0;1.1;2.3;1575.5
21.12.2023;26.12.2023 00:00;36126;-3.6;0;-4;0;1397.6
21.12.2023;26.12.2023 03:00;36126;-2.8;0;-5.1;-0.1;1033
21.12.2023;26.12.2023 06:00;36126;0.3;1.5;-2.8;2;660.4
21.12.2023;26.12.2023 09:00;36126;3.9;0.1;2.4;9.2;505.1
21.12.2023;26.12.2023 12:00;36126;1.8;0.1;7.4;8.1;847.2
21.12.2023;26.12.2023 15:00;36126;-0.8;0;8.1;9.4;1093.7
21.12.2023;26.12.2023 18:00;36126;-2.2;0;8.7;8.6;1305
21.12.2023;26.12.2023 21:00;36126;-2.6;0;7;7.2;1523.3
21.12.2023;27.12.2023 00:00;36126;-3.6;0;3.8;7.3;1645.6
21.12.2023;27.12.2023 03:00;36126;-3.8;0;2.6;9.2;1585.5
21.12.2023;27.12.2023 06:00;36126;-1.3;0;5.6;10.2;1594.4
21.12.2023;27.12.2023 09:00;36126;-0.3;0;6.7;8.6;1671
21.12.2023;27.12.2023 12:00;36126;0.8;0.1;6.3;7.8;1776.6
21.12.2023;27.12.2023 15:00;36126;0.3;0;5.7;7.3;1838.5
21.12.2023;27.12.2023 18:00;36126;0;0;5.7;9;1649
21.12.2023;27.12.2023 21:00;36126;0.4;0;5.3;12.1;1342.5
21.12.2023;28.12.2023 00:00;36126;2.1;0.2;7.7;12.3;1178.7
21.12.2023;21.12.2023 00:00;36208;-12.9;0;-2;2.6;2683.5
21.12.2023;21.12.2023 03:00;36208;-12.3;0;-5.9;5.1;2622.6
21.12.2023;21.12.2023 06:00;36208;-10.6;0;-6;6.8;2607.6
21.12.2023;21.12.2023 09:00;36208;-10.1;0.1;-5.3;7.3;2500.8
21.12.2023;21.12.2023 12:00;36208;-10.2;0.5;-6.2;7.2;2510.2
21.12.2023;21.12.2023 15:00;36208;-10.5;0.7;-5.8;7.7;2522.7
21.12.2023;21.12.2023 18:00;36208;-10.1;0.7;-4.7;6.4;2607.4
21.12.2023;21.12.2023 21:00;36208;-9.2;0.3;-5;3.9;2705.8
21.12.2023;22.12.2023 00:00;36208;-8.4;0.1;-5.3;3.5;2692.8
21.12.2023;22.12.2023 03:00;36208;-7.5;0;-6.3;4.6;2724.9
21.12.2023;22.12.2023 06:00;36208;-5.3;0;-5.2;4;2690.4
21.12.2023;22.12.2023 09:00;36208;-4.9;0;-4.4;2.8;2609.2
21.12.2023;22.12.2023 12:00;36208;-7.5;0;-5.2;2.3;2577.6
21.12.2023;22.12.2023 15:00;36208;-6.6;0;-5.5;2.4;2496.1
21.12.2023;22.12.2023 18:00;36208;-6.1;0;-5;2.1;2362.4
21.12.2023;22.12.2023 21:00;36208;-5.6;0;-4.4;2.1;2251.9
21.12.2023;23.12.2023 00:00;36208;-4.8;0;-4.8;2;2116.9
21.12.2023;23.12.2023 03:00;36208;-4.6;0;-4.1;1.9;2093.2
21.12.2023;23.12.2023 06:00;36208;0;0;-2.5;1.6;2003.1
21.12.2023;23.12.2023 09:00;36208;0;0;-3.4;1.2;1870.6
21.12.2023;23.12.2023 12:00;36208;-2.5;0;-4.2;1.8;1799.5
21.12.2023;23.12.2023 15:00;36208;-2.8;0;-4;1.9;1775
21.12.2023;23.12.2023 18:00;36208;-3.1;0;-4.3;1.6;1749.1
21.12.2023;23.12.2023 21:00;36208;-3.7;0;-4.7;1.5;1708.3
21.12.2023;24.12.2023 00:00;36208;-4;0;-4.5;1.4;1685.9
21.12.2023;24.12.2023 03:00;36208;-3.8;0;-4.8;0.8;1709
21.12.2023;24.12.2023 06:00;36208;-0.9;0;-4.6;0;1698.7
21.12.2023;24.12.2023 09:00;36208;-1;0;-4.5;2.2;1605
21.12.2023;24.12.2023 12:00;36208;-3.6;0;-4.9;3.4;1612.3
21.12.2023;24.12.2023 15:00;36208;-3.5;0;-5.7;3;1644.6
21.12.2023;24.12.2023 18:00;36208;-3.2;0;-5.5;3.7;1608.9
21.12.2023;24.12.2023 21:00;36208;-3.1;0;-5.5;2.9;1599.6
21.12.2023;25.12.2023 00:00;36208;-3.3;0;-5.6;2.7;1645
21.12.2023;25.12.2023 03:00;36208;-3;0;-6.1;3;1689.3
21.12.2023;25.12.2023 06:00;36208;-0.1;0;-5.3;4.5;1672
